user_id,age,gender,country,device_type,subscription_type,days_active,total_sessions,avg_session_duration_min,screen_views,clicks,likes,shares,comments,searches,notifications_received,notification_open_rate,purchases,total_spend,retained_30d,churn_risk_score
U00024,50.0,Male,India,iOS,Basic,85,30,13.05,224,42,15,1,1,13,175,0.21,4,126.21,0,0.535
U00025,29.0,Male,Canada,Android,Basic,84,20,15.05,53,15,5,0,0,14,85,0.467,1,49.33,0,0.638
U00026,39.0,Female,UK,iOS,Free,139,24,14.55,144,34,8,1,1,8,50,0.373,3,56.27,0,0.536
U00027,42.0,Male,USA,Android,Basic,39,24,7.24,170,15,4,0,1,9,134,0.253,3,17.35,1,0.373
U00028,44.0,Male,USA,Android,Basic,87,27,14.27,161,31,2,0,0,13,90,0.324,3,94.06,1,0.245
U00029,59.0,Other,UK,Android,Basic,101,18,20.19,198,38,11,0,2,9,15,0.352,0,0.0,1,0.087
U00030,45.0,Male,India,Android,Free,53,26,12.02,174,52,11,1,2,15,158,0.281,2,73.55,1,0.347
U00031,33.0,Female,UK,Android,Premium,16,17,5.96,162,37,7,0,1,5,53,0.057,1,74.31,0,0.725
U00032,32.0,Female,USA,Android,Basic,88,17,13.54,158,16,2,0,0,8,123,0.148,2,121.36,1,0.425
U00033,20.0,Female,USA,Android,Premium,60,21,10.67,160,21,5,1,1,14,164,0.233,1,61.07,0,0.514
U00034,54.0,Female,UK,Android,Free,106,22,12.49,170,29,7,1,0,16,141,0.159,3,231.7,0,0.296
U00035,24.0,Other,USA,iOS,Free,101,18,14.3,147,13,3,0,0,5,170,0.07,5,328.76,1,0.274
U00036,38.0,Female,India,Android,Free,48,30,12.48,196,28,6,0,1,12,117,0.273,2,104.35,0,0.572
U00037,26.0,Female,India,iOS,Free,76,20,5.88,214,60,21,2,0,12,21,0.272,1,70.65,0,0.582
U00038,56.0,Male,India,iOS,Basic,77,27,9.32,165,48,14,2,2,15,157,0.539,2,28.62,0,0.346
U00039,35.0,Female,Canada,iOS,Basic,77,21,12.36,172,21,7,1,1,13,27,,3,17.73,1,0.226
U00040,21.0,Female,Australia,Android,Free,109,19,10.34,133,24,7,0,0,8,112,0.147,1,77.05,1,0.226
U00041,42.0,Female,Canada,Android,Free,240,31,14.28,283,61,24,0,2,20,158,0.589,1,42.67,0,0.048
U00042,31.0,Female,India,iOS,Premium,100,31,8.74,235,57,8,0,1,14,5,0.19,3,31.29,1,0.4
U00043,26.0,Female,UK,Android,Basic,94,25,13.42,166,21,4,0,0,11,30,0.412,3,195.97,0,0.443
U00044,43.0,Male,India,Android,Basic,42,22,15.02,228,19,6,0,0,12,171,0.543,2,82.32,0,0.607
U00045,19.0,Male,India,iOS,Free,64,27,8.14,131,38,4,0,1,7,174,0.219,3,129.06,1,0.231
U00046,37.0,Male,India,iOS,Free,84,23,6.48,188,24,5,1,0,15,151,0.341,2,79.39,1,0.208
U00047,45.0,Female,India,iOS,Free,92,23,19.26,168,20,5,0,1,14,84,0.491,5,530.43,1,0.156
U00048,24.0,Male,India,Android,Free,65,15,20.2,79,8,1,0,0,9,70,0.22,1,21.6,1,0.37
U00049,25.0,Male,India,iOS,Basic,223,31,7.58,166,24,1,0,0,12,73,0.117,0,0.0,1,0.0
U00050,52.0,Female,Canada,iOS,Basic,85,16,8.08,146,27,2,0,0,7,94,0.301,2,67.35,1,0.409
U00051,31.0,Male,USA,Android,Basic,236,32,12.78,299,43,17,2,5,17,124,0.371,6,221.64,1,0.0
U00052,34.0,Female,Singapore,Android,Free,73,26,3.13,137,37,6,0,1,11,101,0.244,3,65.6,0,0.368
U00053,53.0,Male,UK,Android,Free,86,25,10.18,192,16,1,0,0,13,20,0.33,2,73.48,1,0.233
U00054,57.0,Female,Singapore,Android,Basic,104,20,15.69,96,23,9,2,0,9,67,0.314,0,0.0,0,0.471
U00055,21.0,Male,USA,iOS,Basic,155,29,13.1,243,49,3,0,0,7,24,0.241,4,215.01,0,0.424
U00056,19.0,Male,USA,iOS,Basic,81,20,12.11,171,31,6,0,1,13,1,0.204,1,30.08,1,0.278
U00057,23.0,Female,UK,iOS,Basic,20,18,12.24,57,5,1,0,0,13,8,0.287,3,71.16,0,0.578
U00058,59.0,Female,UK,iOS,Basic,45,25,4.8,182,47,6,0,1,18,118,0.437,3,89.05,0,0.57
U00059,21.0,Male,India,Android,Free,105,30,17.13,323,83,17,3,3,12,147,0.377,4,89.77,0,0.417
U00060,46.0,Female,USA,Android,Free,130,23,10.76,75,13,0,0,0,13,26,0.342,1,19.1,0,0.318
U00061,35.0,Other,USA,Android,Premium,19,20,23.52,131,16,7,0,2,19,8,0.244,2,178.94,0,0.694
U00062,43.0,Male,India,iOS,Free,29,19,11.47,152,26,3,0,0,16,176,0.122,3,59.24,0,0.543
U00063,51.0,Female,Canada,iOS,Free,93,25,5.88,236,37,8,0,0,15,49,0.253,1,28.68,1,0.24
U00064,27.0,Male,Australia,iOS,Premium,146,26,12.31,122,36,10,1,0,14,50,0.182,3,166.47,0,0.477
U00065,53.0,Male,UK,Android,Free,152,26,13.34,252,62,9,0,0,10,75,0.363,1,40.41,0,0.511
U00066,31.0,Male,USA,Android,Free,162,24,12.66,162,29,3,0,0,11,170,0.228,4,85.57,0,0.397
U00067,48.0,Male,USA,Android,Free,114,25,24.96,191,44,9,0,1,11,145,0.391,2,27.62,0,0.321
U00068,32.0,Male,India,iOS,Free,144,28,16.25,98,11,3,0,0,19,87,0.061,0,0.0,1,0.018
U00069,25.0,Male,UK,Android,Premium,149,23,15.1,182,45,16,0,1,14,179,0.336,1,19.4,1,0.044
U00070,31.0,Male,Australia,Android,Free,126,21,23.65,145,41,17,3,5,16,165,0.114,6,204.02,1,0.133
U00071,40.0,Female,India,Android,Free,81,30,19.43,242,61,24,2,4,11,138,0.466,1,42.84,1,0.205
U00072,57.0,Female,USA,iOS,Premium,248,29,13.41,241,45,7,1,1,11,130,0.039,2,177.32,0,0.13
U00073,38.0,Female,USA,iOS,Premium,65,29,19.61,133,24,4,0,0,13,132,0.139,5,477.73,1,0.114
U00074,33.0,Male,Canada,iOS,Free,243,38,2.29,336,61,10,0,3,18,65,0.285,1,13.82,0,0.025
U00075,35.0,Female,India,iOS,Free,94,22,8.58,178,22,1,0,0,12,0,0.123,2,38.69,0,0.432
U00076,41.0,Male,India,iOS,Premium,143,33,10.82,371,59,17,3,1,14,9,0.121,3,63.92,0,0.156
U00077,43.0,Male,Canada,Android,Free,129,28,15.5,259,44,15,2,0,9,167,0.423,1,68.89,0,0.371
U00078,42.0,Female,Singapore,Android,Basic,101,27,1.83,197,18,2,0,0,10,98,0.099,0,0.0,0,0.425
U00079,58.0,Female,Australia,Android,Free,158,29,20.59,269,26,2,0,0,9,173,0.534,2,98.35,0,0.385
U00080,46.0,Male,Canada,Android,Free,169,22,9.95,165,16,2,0,0,13,27,0.443,3,156.98,1,0.116
U00081,32.0,Male,India,iOS,Free,100,26,14.98,161,39,10,1,1,7,72,0.122,3,250.69,1,0.088
U00082,18.0,Female,USA,Android,Free,17,20,12.97,202,38,9,1,2,11,61,0.453,4,101.91,0,0.571
U00083,42.0,Female,India,Android,Basic,44,21,9.8,59,11,1,0,0,15,157,0.118,1,66.78,1,0.376
U00084,24.0,Male,Australia,iOS,Premium,68,25,13.76,158,34,12,1,2,13,12,0.394,2,49.35,0,0.499
U00085,26.0,Female,India,Android,Free,64,28,13.73,189,31,5,0,0,12,86,0.387,3,177.09,1,0.073
U00086,41.0,Male,USA,Android,Free,157,21,2.31,102,13,1,0,0,9,106,0.373,3,85.88,0,0.555
U00087,18.0,Female,Australia,Android,Free,53,27,18.69,183,31,8,1,0,11,104,0.284,2,144.68,1,0.258
U00088,25.0,Male,India,Android,Free,174,24,12.58,229,57,15,3,3,10,17,0.268,1,16.75,1,0.113
U00089,41.0,Male,Singapore,Android,Free,65,26,12.11,120,17,4,0,0,17,145,0.339,3,106.11,0,0.562
U00090,28.0,Male,Germany,Android,Free,86,20,16.93,192,53,8,1,2,14,112,0.079,5,697.49,1,0.34
U00091,34.0,Female,Singapore,iOS,Free,101,22,10.84,149,22,3,0,0,20,68,0.221,1,59.21,1,0.224
U00092,25.0,Male,UK,Android,Free,77,29,14.09,275,38,15,3,2,8,2,0.209,0,0.0,0,0.394
U00093,52.0,Female,India,Android,Free,172,23,13.05,188,36,2,0,0,16,20,0.353,2,33.55,0,0.393
U00094,52.0,Female,Australia,iOS,Free,137,25,1.0,100,15,6,0,1,16,169,0.14,0,0.0,0,0.365
U00095,50.0,Female,Germany,iOS,Basic,13,26,19.35,184,17,5,0,0,12,68,0.311,2,63.82,0,0.534
U00096,22.0,Male,India,iOS,Free,216,29,5.68,223,55,4,0,0,9,172,0.117,3,70.99,1,0.032
U00097,59.0,Male,USA,Android,Basic,114,27,3.75,150,16,5,0,0,13,88,0.179,0,0.0,1,0.172
U00098,56.0,Male,UK,Android,Free,110,20,6.55,132,39,5,0,0,16,31,0.172,1,27.76,0,0.399
U00099,58.0,Male,Canada,Android,Free,99,30,13.31,110,16,2,0,0,7,150,0.342,1,77.13,0,0.426
U00100,45.0,Other,USA,Android,Premium,72,28,11.47,235,60,7,1,0,12,150,0.206,0,0.0,0,0.429
U00101,24.0,Other,India,Android,Premium,34,13,15.66,161,37,6,0,1,18,116,0.246,4,231.57,1,0.525
U00102,26.0,Male,UK,Android,Free,146,22,26.83,174,38,7,0,0,9,46,0.11,0,0.0,1,0.277
U00103,25.0,Male,India,Android,Free,17,24,6.38,248,31,4,0,0,9,89,0.638,0,0.0,0,0.56
U00104,29.0,Female,India,Android,Basic,238,35,14.79,203,45,3,0,0,15,95,0.661,3,73.46,1,0.0
U00105,51.0,Female,India,iOS,Premium,210,24,11.22,129,36,9,2,0,16,142,0.589,2,89.72,0,0.184
U00106,50.0,Female,Singapore,iOS,Basic,97,28,8.81,241,22,4,0,0,9,45,0.371,2,123.18,0,0.409
U00107,40.0,Male,Canada,Android,Basic,217,22,8.03,217,45,16,1,4,10,151,0.126,1,24.28,1,0.072
U00108,41.0,Male,UK,iOS,Free,99,29,13.88,136,22,1,0,0,9,10,0.158,2,73.47,0,0.287
U00109,54.0,Female,Canada,Android,Basic,80,23,,129,37,9,0,1,14,7,0.225,1,38.65,0,0.439
U00110,52.0,Male,India,Android,Premium,105,27,10.27,148,44,10,0,0,17,115,0.252,3,85.6,0,0.421
U00111,57.0,Female,USA,iOS,Free,211,33,9.43,183,26,8,0,2,10,123,0.496,3,107.98,1,0.0
U00112,39.0,Male,Germany,Android,Free,74,21,15.37,114,28,4,0,0,15,30,0.383,1,21.36,0,0.632
U00113,44.0,Female,Canada,Android,Free,29,25,8.36,196,46,9,1,2,11,124,0.03,3,178.55,1,0.359
U00114,52.0,Female,Germany,Android,Free,112,20,9.41,119,24,6,1,0,15,61,0.176,2,127.77,0,0.458
U00115,18.0,Male,Singapore,Android,Free,34,30,15.35,184,54,20,2,5,14,22,0.272,2,88.86,0,0.543
U00116,52.0,Male,USA,iOS,Free,99,27,7.18,138,16,1,0,0,12,118,0.318,4,112.95,1,0.249
U00117,54.0,Female,UK,iOS,Basic,244,28,11.85,286,34,8,1,2,8,11,0.217,1,38.5,1,0.0
U00118,31.0,Male,USA,Android,Basic,189,32,1.0,152,18,4,0,0,13,153,0.281,2,93.33,1,0.071
U00119,20.0,Female,Germany,Android,Free,91,16,11.28,78,18,3,0,0,7,46,0.173,1,26.77,1,0.315
U00120,18.0,Male,USA,Android,Premium,50,24,10.59,147,23,6,0,1,10,115,0.317,0,0.0,0,0.643
U00121,22.0,Male,Canada,iOS,Basic,77,17,17.86,88,8,1,0,0,10,176,0.08,5,23.84,1,0.223
U00122,43.0,Female,UK,Android,Free,26,21,13.79,174,33,11,1,2,12,59,0.432,2,34.57,1,0.283
U00123,31.0,Female,UK,Android,Free,82,28,10.48,122,33,7,0,0,15,91,0.146,3,100.77,0,0.421
U00124,56.0,Male,India,Android,Basic,210,35,4.45,212,46,10,1,0,14,158,0.24,3,128.96,1,0.0
U00125,44.0,Male,Canada,Android,Free,173,24,17.81,361,104,30,0,5,19,133,0.255,2,48.04,1,0.018
U00126,26.0,Female,India,iOS,Free,24,25,8.05,162,29,12,0,3,12,77,0.233,2,5.76,1,0.263
U00127,32.0,Female,Australia,iOS,Free,89,27,14.46,280,47,8,0,2,11,54,0.576,2,79.31,1,0.241
U00128,32.0,Male,Singapore,Android,Premium,350,37,9.88,353,60,19,4,6,8,144,0.327,3,51.83,0,0.0
U00129,43.0,Male,Australia,iOS,Free,102,31,4.76,178,20,4,0,0,10,5,0.291,1,90.53,0,0.372
U00130,59.0,Male,India,Android,Free,221,27,16.8,245,57,9,2,1,18,179,0.568,1,34.99,0,0.263
U00131,30.0,Female,USA,iOS,Free,102,35,9.47,304,80,32,3,5,8,160,0.536,1,33.16,1,0.036
U00132,49.0,Female,India,iOS,Free,115,25,17.93,197,56,24,1,4,11,47,0.572,2,77.96,1,0.0
U00133,56.0,Male,India,Android,Basic,65,18,3.47,114,30,12,2,1,12,68,0.085,2,43.48,0,0.692
U00134,49.0,Female,Australia,Android,Free,84,22,15.93,180,24,9,1,0,9,104,0.408,2,73.06,0,0.399
U00135,21.0,Male,India,iOS,Free,34,22,14.38,226,20,4,0,0,11,168,0.103,3,126.21,0,0.511
U00136,47.0,Female,,Android,Free,150,32,12.92,193,24,4,0,0,11,119,0.492,0,0.0,0,0.287
U00137,54.0,Male,UK,iOS,Premium,120,29,8.72,312,33,3,0,0,11,74,0.092,2,54.1,0,0.341
U00138,40.0,Female,Singapore,iOS,Free,204,28,4.28,209,40,15,0,2,13,101,0.304,2,12.88,1,0.0
U00139,56.0,Female,Canada,iOS,Free,100,25,3.65,193,48,21,2,2,10,4,0.16,4,144.72,0,0.551
U00140,32.0,Female,Canada,Android,Basic,119,22,14.35,147,29,8,0,2,9,26,0.384,3,322.87,1,0.222
U00141,60.0,Female,UK,Android,Basic,229,27,17.94,288,39,11,2,3,14,123,0.246,4,669.35,1,0.0
U00142,46.0,Female,USA,iOS,Free,36,22,18.26,139,23,2,0,0,16,7,0.165,4,66.67,0,0.679
U00143,53.0,Female,USA,iOS,Basic,104,25,6.58,203,23,7,0,2,23,148,0.065,1,23.3,0,0.453
U00144,30.0,Male,Canada,Android,Free,77,26,4.72,160,23,1,0,0,15,123,0.491,2,102.91,0,0.415
U00145,49.0,Male,USA,iOS,Free,20,29,8.32,134,17,4,0,0,14,162,0.473,3,166.33,0,0.595
U00146,24.0,Female,Canada,iOS,Premium,114,33,12.95,151,24,5,1,0,9,43,0.272,3,89.87,1,0.104
U00147,39.0,Female,UK,Android,Basic,41,29,8.2,397,34,6,0,1,6,130,0.145,1,27.91,0,0.404
U00148,45.0,Female,UK,iOS,Free,89,28,5.84,123,11,3,0,0,17,42,0.36,0,0.0,0,0.514
U00149,19.0,Male,USA,Android,Premium,154,21,18.19,92,23,5,0,0,8,31,0.433,2,99.43,0,0.41
U00150,59.0,Female,India,Android,Premium,59,22,5.73,166,20,4,0,1,14,128,0.107,2,41.94,0,0.59
U00151,23.0,Male,India,Android,Free,92,20,7.91,206,26,1,0,0,4,124,0.22,5,415.53,0,0.493
U00152,,Male,India,iOS,Basic,106,26,8.84,186,24,4,0,0,7,135,0.051,3,119.47,0,0.453
U00153,45.0,Female,UK,Android,Basic,116,23,22.78,157,42,4,0,0,5,43,0.098,3,161.57,0,0.309
U00154,37.0,Male,Germany,iOS,Free,87,27,9.46,67,17,2,0,0,9,144,0.215,1,49.14,0,0.483
U00155,47.0,Male,Australia,iOS,Free,117,31,14.04,238,37,12,2,3,9,23,0.074,3,364.47,1,0.078
U00156,28.0,Female,Australia,Android,Free,46,22,9.05,155,45,19,4,4,9,48,0.18,4,234.51,0,0.501
U00157,45.0,Male,India,Android,Free,173,36,12.1,180,48,3,0,0,14,150,,5,365.72,1,0.0
U00158,42.0,Female,Canada,iOS,Premium,47,21,7.35,111,32,2,0,0,12,72,0.169,2,32.25,1,0.28
U00159,56.0,Female,India,Android,Basic,139,30,10.38,243,63,21,1,2,12,123,0.107,2,54.89,0,0.312
U00160,50.0,Female,USA,Android,Free,32,17,8.76,182,18,6,1,1,15,10,0.294,2,69.48,0,0.781
U00161,18.0,Other,Australia,Android,Free,76,33,15.42,161,41,12,0,3,8,174,0.184,1,8.31,1,0.137
U00162,44.0,Female,USA,Android,Free,191,18,12.29,174,29,6,1,1,8,2,0.207,2,125.34,1,0.099
U00163,30.0,Female,UK,Android,Free,79,25,16.07,120,9,2,0,0,10,40,0.42,2,110.52,0,0.461
U00164,58.0,Female,Canada,Android,Basic,74,24,3.1,123,29,3,0,0,12,53,0.373,3,252.76,1,0.172
U00165,20.0,Female,Singapore,Android,Free,50,18,16.68,204,17,6,0,2,12,98,0.498,3,176.47,0,0.679
U00166,56.0,Male,India,Android,Free,58,31,8.33,89,8,1,0,0,16,139,0.434,4,85.42,0,0.443
U00167,23.0,Female,India,iOS,Premium,65,23,13.11,134,30,5,0,1,14,167,0.311,3,116.28,0,0.677
U00168,25.0,Female,USA,Android,Free,67,26,1.69,198,52,11,2,3,15,52,0.228,2,80.77,1,0.131
U00169,44.0,Female,UK,iOS,Basic,86,21,18.43,161,29,9,1,1,9,117,0.084,2,42.84,0,0.48
U00170,26.0,Female,USA,iOS,Basic,210,28,1.0,260,24,6,1,0,16,84,0.249,0,0.0,0,0.293
U00171,54.0,Female,UK,Android,Free,97,33,5.12,133,24,5,0,0,10,172,0.431,4,235.92,1,0.253
U00172,50.0,Female,UK,iOS,Free,274,26,13.42,108,13,3,0,0,14,29,0.131,4,211.05,0,0.246
U00173,59.0,Female,Canada,Android,Free,97,25,8.04,126,28,4,0,1,9,107,0.192,4,144.53,1,0.19
U00174,41.0,Male,Germany,Android,Premium,121,31,14.94,325,27,1,0,0,11,54,0.512,1,36.4,0,0.212
U00175,32.0,Female,India,iOS,Basic,156,32,15.61,243,55,6,1,1,15,24,0.23,1,17.4,1,0.034
U00176,49.0,Male,Australia,iOS,Premium,103,36,3.2,204,44,17,3,0,12,138,0.388,3,106.6,0,0.158
U00177,49.0,Other,UK,iOS,Free,35,23,20.89,104,11,3,0,0,14,167,0.459,1,67.23,0,0.576
U00178,41.0,Female,Germany,Android,Basic,33,30,11.52,269,44,17,3,1,10,167,0.164,1,14.49,0,0.575
U00179,58.0,Female,India,Android,Free,146,20,6.81,140,24,5,0,0,11,172,0.093,2,189.42,0,0.476
U00180,29.0,Other,Germany,Android,Basic,105,32,7.11,322,92,13,2,2,11,70,0.354,0,0.0,0,0.351
U00181,56.0,Female,India,iOS,Premium,90,18,4.28,136,13,5,0,0,13,148,0.175,0,0.0,1,0.237
U00182,19.0,Male,Singapore,Android,Basic,53,33,16.18,238,61,5,0,0,9,178,0.257,2,17.78,0,0.387
U00183,20.0,Female,USA,Android,Premium,103,24,13.58,225,52,20,2,3,9,135,0.186,1,27.48,1,0.204
U00184,54.0,Male,Canada,iOS,Premium,58,31,11.81,97,21,1,0,0,22,97,0.296,2,30.06,0,0.399
U00185,34.0,Male,Australia,Android,Free,159,28,5.29,186,28,10,2,2,16,150,0.268,4,76.15,0,0.363
U00186,19.0,Male,Singapore,iOS,Free,25,24,8.61,201,23,8,0,1,9,113,0.128,2,55.77,0,0.563
U00187,19.0,Female,India,iOS,Premium,50,19,10.85,121,12,1,0,0,11,44,0.502,0,0.0,0,0.629
U00188,45.0,Female,UK,iOS,Premium,141,16,12.55,87,23,8,1,0,9,170,0.434,0,0.0,1,0.169
U00189,40.0,Male,India,Android,Basic,246,25,7.04,229,54,6,1,0,12,115,0.554,4,77.9,0,0.278
U00190,54.0,Male,India,Android,Free,25,20,7.58,131,16,6,1,0,11,17,0.256,2,58.62,0,0.542
U00191,49.0,Female,USA,iOS,Basic,130,22,21.71,101,10,3,0,0,18,133,0.143,2,62.75,1,0.232
U00192,50.0,Male,Canada,Android,Premium,73,20,7.64,64,6,1,0,0,13,128,0.48,4,208.79,1,0.233
U00193,18.0,Male,Canada,Android,Free,87,30,18.48,174,30,13,1,2,3,123,0.244,3,269.26,1,0.22
U00194,36.0,Female,USA,Android,Basic,33,20,15.87,151,40,8,1,1,8,43,0.091,1,41.09,0,0.559
U00195,19.0,Male,UK,iOS,Free,313,32,11.73,193,47,12,2,0,8,112,0.096,1,95.27,0,0.172
U00196,43.0,Male,UK,Android,Free,31,26,8.07,358,101,41,6,10,12,54,0.299,3,88.88,1,0.379
U00197,49.0,Male,Germany,Android,Basic,97,19,8.96,138,24,6,1,1,9,114,0.142,4,95.75,0,0.457
U00198,23.0,Female,Germany,Android,Free,51,35,10.38,280,61,21,2,4,15,97,0.123,1,67.44,0,0.425
U00199,49.0,Female,USA,Android,Basic,365,23,4.88,173,26,6,0,0,15,103,0.379,2,52.21,0,0.0
U00200,21.0,Other,India,iOS,Free,86,23,4.57,180,15,3,0,0,10,46,0.142,3,171.68,1,0.221
U00201,28.0,Female,India,iOS,Free,243,28,9.83,293,75,6,1,1,18,134,0.042,4,219.47,0,0.333
U00202,34.0,Male,India,iOS,Basic,218,22,14.54,199,30,10,1,3,11,116,0.305,2,2.48,1,0.0
U00203,55.0,Male,Australia,iOS,Basic,152,28,13.82,213,47,15,1,4,10,173,0.257,3,25.4,0,0.327
U00204,,Male,India,iOS,Free,85,28,12.81,260,24,9,1,1,12,104,0.052,3,73.66,1,0.199
U00205,22.0,Female,USA,Android,Free,38,20,13.5,109,11,3,0,0,14,4,0.104,2,178.11,1,0.406
U00206,51.0,Female,UK,Android,Free,196,22,7.39,105,28,6,1,0,6,109,0.021,1,31.68,0,0.197
U00207,23.0,Female,Australia,iOS,Premium,68,22,5.56,240,19,2,0,0,14,17,0.249,6,318.23,1,0.335
U00208,39.0,Male,Canada,iOS,Free,113,27,14.25,211,39,16,2,1,12,116,0.188,3,176.89,0,0.338
U00209,28.0,Male,UK,iOS,Free,135,26,15.06,164,27,3,0,0,15,65,0.172,2,33.41,1,0.105
U00210,33.0,Male,UK,Android,Free,165,31,13.59,194,42,11,1,1,7,151,0.443,3,42.27,0,0.305
U00211,50.0,Female,USA,Android,Free,47,14,13.41,90,22,6,0,0,16,18,0.409,3,34.47,0,0.677
U00212,26.0,Male,Germany,Android,Basic,177,24,18.94,58,6,1,0,0,13,128,0.483,1,49.63,0,0.368
U00213,23.0,Female,India,Android,Basic,88,27,14.81,234,22,3,0,0,9,116,0.103,3,125.68,1,0.216
U00214,33.0,Male,Singapore,Android,Free,108,23,6.16,110,32,1,0,0,7,74,0.342,6,14.95,0,0.557
U00215,46.0,Female,UK,iOS,Free,125,28,16.58,265,36,11,1,3,14,152,0.504,3,192.61,1,0.119
U00216,20.0,Male,India,Android,Free,187,29,6.95,178,20,1,0,0,9,51,0.159,0,0.0,0,0.269
U00217,37.0,Male,Canada,Android,Premium,73,37,21.09,328,46,10,1,0,12,12,0.366,1,45.86,0,0.284
U00218,53.0,Male,USA,iOS,Basic,81,26,9.84,255,61,11,1,3,17,163,0.139,1,93.62,1,0.232
U00219,36.0,Male,India,Android,Basic,171,35,19.85,287,44,18,1,2,12,103,0.646,5,185.73,0,0.314
U00220,43.0,Male,India,Android,Free,32,30,19.43,308,56,17,2,4,11,11,0.297,0,0.0,0,0.524
U00221,20.0,Female,UK,Android,Free,39,22,15.28,246,36,5,0,1,7,104,0.193,0,0.0,1,0.371
U00222,36.0,Male,Canada,Android,Free,65,25,11.03,247,57,3,0,0,15,135,0.298,0,0.0,0,0.526
U00223,37.0,Male,USA,Android,Free,47,23,13.83,147,12,4,0,0,10,42,0.654,3,154.25,1,0.314
U00224,49.0,Female,Canada,Android,Premium,73,24,8.72,161,15,4,0,0,16,111,0.277,1,25.39,1,0.326
U00225,24.0,Female,India,Android,Free,138,19,8.2,175,23,8,1,1,14,63,0.476,2,22.46,1,0.241
U00226,58.0,Male,USA,Android,Free,211,31,8.68,254,26,2,0,0,17,148,0.081,6,171.43,1,0.151
U00227,50.0,Female,India,iOS,Free,134,22,17.08,134,32,7,0,0,15,63,0.183,1,30.28,1,0.16
U00228,57.0,Female,UK,iOS,Premium,81,30,11.6,176,20,2,0,0,10,98,0.102,0,0.0,0,0.545
U00229,56.0,Male,USA,Android,Free,99,26,14.04,217,55,23,3,1,21,175,0.262,0,0.0,0,0.51
U00230,35.0,Female,India,iOS,Premium,90,21,12.38,58,5,2,0,0,11,116,0.184,1,60.15,0,0.599
U00231,57.0,Male,Singapore,Android,Basic,136,24,15.1,177,32,6,0,1,12,86,0.563,2,34.27,1,0.132
U00232,18.0,Male,Germany,Android,Free,266,34,14.89,199,44,2,0,0,15,134,0.57,3,175.16,0,0.023
U00233,28.0,Other,Australia,Android,Basic,54,22,2.14,193,29,4,0,0,12,161,0.56,3,103.46,0,0.589
U00234,45.0,Male,India,Android,Premium,126,21,9.84,172,24,5,1,0,6,19,0.179,1,21.99,0,0.391
